agency_name,url,portal,csv,pdf,other
Agency Name,Transparency URL,0,0,0,0
(revoked MOU) - former AZ - AZDCS,https://transparency.flocksafety.com/(revoked-mou)---former-az---azdcs,0,0,0,0
13th Drug Task Force AR,https://transparency.flocksafety.com/13th-drug-task-force-ar,0,0,0,0
18th Judicial District DA's Office- LA PD,https://transparency.flocksafety.com/18th-judicial-district-das-office--la-pd,0,0,0,0
18th Judicial District Drug Task Force - TN PD,https://transparency.flocksafety.com/18th-judicial-district-drug-task-force---tn-pd,0,0,0,0
1st Judicial District,https://transparency.flocksafety.com/1st-judicial-district,0,0,0,0
265,https://transparency.flocksafety.com/265,0,0,0,0
28th Judicial District (TN),https://transparency.flocksafety.com/28th-judicial-district-(tn),0,0,0,0
988,https://transparency.flocksafety.com/988,0,0,0,0
ACRATT -CA,https://transparency.flocksafety.com/acratt--ca,0,0,0,0
AL - Andalusia PD,https://transparency.flocksafety.com/al---andalusia-pd,0,0,0,0
AL - Autauga County SO,https://transparency.flocksafety.com/al---autauga-county-so,0,0,0,0
AL - Bear Creek PD,https://transparency.flocksafety.com/al---bear-creek-pd,0,0,0,0
AL - Daphne PD,https://transparency.flocksafety.com/al---daphne-pd,0,0,0,0
AL - Gadsden PD,https://transparency.flocksafety.com/al---gadsden-pd,0,0,0,0
AL - Jacksonville PD,https://transparency.flocksafety.com/al---jacksonville-pd,0,0,0,0
AL - Jacksonville State University Campus PD,https://transparency.flocksafety.com/al---jacksonville-state-university-campus-pd,0,0,0,0
AL - Sylacauga PD,https://transparency.flocksafety.com/al---sylacauga-pd,0,0,0,0
AL - Troy University - Insight,https://transparency.flocksafety.com/al---troy-university---insight,0,0,0,0
AL- Clarke County SO,https://transparency.flocksafety.com/al--clarke-county-so,0,0,0,0
ALDOI/ AL State Fire Marshal's Office,https://transparency.flocksafety.com/aldoi/-al-state-fire-marshals-office,0,0,0,0
AR - Alma PD,https://transparency.flocksafety.com/ar---alma-pd,0,0,0,0
AR - Arkadelphia PD,https://transparency.flocksafety.com/ar---arkadelphia-pd,0,0,0,0
AR - Harrisburg PD,https://transparency.flocksafety.com/ar---harrisburg-pd,0,0,0,0
AR - Mountain View PD,https://transparency.flocksafety.com/ar---mountain-view-pd,0,0,0,0
AR - Newton County SO,https://transparency.flocksafety.com/ar---newton-county-so,0,0,0,0
ASU AZ PD,https://transparency.flocksafety.com/asu-az-pd,0,0,0,0
ATF Louisville KY [inactive],https://transparency.flocksafety.com/atf-louisville-ky-[inactive],0,0,0,0
ATF Nashville TN,https://transparency.flocksafety.com/atf-nashville-tn,0,0,0,0
AZ - Department of Public Safety,https://transparency.flocksafety.com/az---department-of-public-safety,0,0,0,0
Abbeville SC PD,https://transparency.flocksafety.com/abbeville-sc-pd,0,0,0,0
Abbotsford WI PD,https://transparency.flocksafety.com/abbotsford-wi-pd,0,0,0,0
Aberdeen WA PD,https://transparency.flocksafety.com/aberdeen-wa-pd,0,0,0,0
Abilene KS PD,https://transparency.flocksafety.com/abilene-ks-pd,0,0,0,0
Abilene TX PD,https://transparency.flocksafety.com/abilene-tx-pd,0,0,0,0
Abington MA PD,https://transparency.flocksafety.com/abington-ma-pd,0,0,0,0
Abington Township PA PD,https://transparency.flocksafety.com/abington-township-pa-pd,0,0,0,0
Absecon NJ PD,https://transparency.flocksafety.com/absecon-nj-pd,0,0,0,0
Accomack County VA SO,https://transparency.flocksafety.com/accomack-county-va-so,1,0,0,0
Acushnet MA PD,https://transparency.flocksafety.com/acushnet-ma-pd,0,0,0,0
Acworth GA PD,https://transparency.flocksafety.com/acworth-ga-pd,0,0,0,0
Ada County ID SO,https://transparency.flocksafety.com/ada-county-id-so,0,0,0,0
Adairsville GA PD,https://transparency.flocksafety.com/adairsville-ga-pd,0,0,0,0
Adairville KY PD,https://transparency.flocksafety.com/adairville-ky-pd,0,0,0,0
Adams County CO SO,https://transparency.flocksafety.com/adams-county-co-so,0,0,0,0
Adams County IL SO,https://transparency.flocksafety.com/adams-county-il-so,0,0,0,0
